0.39843,0.27904,0.20989,0.16309
1.9198,1.1806,0.81904,0.6001
7.0094,3.4913,2.1651,1.4732
26.379,9.0986,4.8428,3.0146
127.49,21.794,9.558,5.4027
1218,45.449,16.322,8.4822
0.38207,0.3262,0.20392,0.18251
1.8093,1.4545,0.78994,0.68848
6.407,4.6599,2.0685,1.7427
22.671,13.764,4.5718,3.6961
94.11,39.981,8.902,6.8778
529.11,107.55,15.016,11.146
0.34779,0.36675,0.19098,0.19821
1.5876,1.7087,0.72809,0.76245
5.2831,5.8828,1.8678,1.9785
16.653,19.727,4.0256,4.3241
54.311,72.74,7.6223,8.3147
176.82,303.05,12.541,13.868
0.30298,0.39285,0.17312,0.20787
1.3168,1.8818,0.64529,0.80915
4.0537,6.799,1.6094,2.1321
11.229,25.042,3.3541,4.7497
29.412,114.52,6.1265,9.331
68.453,879.7,9.7724,15.867
0.38207,0.26968,0.25516,0.19274
1.8093,1.129,1.0505,0.73644
6.407,3.2873,2.9869,1.8946
22.671,8.3759,7.358,4.0971
94.11,19.448,16.335,7.7866
529.11,39.146,31.323,12.853
0.36675,0.31425,0.24704,0.21831
1.7087,1.3829,1.0075,0.86057
5.8828,4.3401,2.827,2.3056
19.727,12.394,6.8381,5.2457
72.74,34.055,14.83,10.56
303.05,84.53,27.754,18.367
0.33458,0.35238,0.2296,0.23931
1.5055,1.6166,0.91737,0.96722
4.8944,5.4236,2.5027,2.6803
14.816,17.346,5.8294,6.3743
44.899,58.16,12.066,13.534
129,199.28,21.555,24.789
0.29233,0.37685,0.20588,0.25241
1.2555,1.7748,0.79945,1.0358
3.7963,6.2243,2.0999,2.932
10.228,21.616,4.6594,7.1779
25.698,85.988,9.1125,15.808
56.738,430.31,15.432,30.056
0.34779,0.2497,0.30298,0.22271
1.5876,1.0215,1.3168,0.8826
5.2831,2.8788,4.0537,2.3814
16.653,7.0048,11.229,5.4675
54.311,15.307,29.412,11.124
176.82,28.868,68.453,19.546
0.33458,0.28891,0.29233,0.25516
1.5055,1.2361,1.2555,1.0505
4.8944,3.7162,3.7963,2.9869
14.816,9.9256,10.228,7.358
44.899,24.623,25.698,16.335
129,53.529,56.738,31.323
0.30666,0.32214,0.26968,0.28227
1.3382,1.43,1.129,1.1986
4.1458,4.5492,3.2873,3.5638
11.597,13.282,8.3759,9.3617
30.842,37.835,19.448,22.677
73.23,98.873,39.146,47.914
0.26968,0.3433,0.23931,0.29936
1.129,1.5595,0.96722,1.2958
3.2873,5.1482,2.6803,3.9649
8.3759,16.002,6.3743,10.878
19.448,50.851,13.534,28.084
39.146,158.13,24.789,64.152
0.30298,0.22271,0.34779,0.2497
1.3168,0.8826,1.5876,1.0215
4.0537,2.3814,5.2831,2.8788
11.229,5.4675,16.653,7.0048
29.412,11.124,54.311,15.307
68.453,19.546,176.82,28.868
0.29233,0.25516,0.33458,0.28891
1.2555,1.0505,1.5055,1.2361
3.7963,2.9869,4.8944,3.7162
10.228,7.358,14.816,9.9256
25.698,16.335,44.899,24.623
56.738,31.323,129,53.529
0.26968,0.28227,0.30666,0.32214
1.129,1.1986,1.3382,1.43
3.2873,3.5638,4.1458,4.5492
8.3759,9.3617,11.597,13.282
19.448,22.677,30.842,37.835
39.146,47.914,73.23,98.873
0.23931,0.29936,0.26968,0.3433
0.96722,1.2958,1.129,1.5595
2.6803,3.9649,3.2873,5.1482
6.3743,10.878,8.3759,16.002
13.534,28.084,19.448,50.851
24.789,64.152,39.146,158.13
0.25516,0.19274,0.38207,0.26968
1.0505,0.73644,1.8093,1.129
2.9869,1.8946,6.407,3.2873
7.358,4.0971,22.671,8.3759
16.335,7.7866,94.11,19.448
31.323,12.853,529.11,39.146
0.24704,0.21831,0.36675,0.31425
1.0075,0.86057,1.7087,1.3829
2.827,2.3056,5.8828,4.3401
6.8381,5.2457,19.727,12.394
14.83,10.56,72.74,34.055
27.754,18.367,303.05,84.53
0.2296,0.23931,0.33458,0.35238
0.91737,0.96722,1.5055,1.6166
2.5027,2.6803,4.8944,5.4236
5.8294,6.3743,14.816,17.346
12.066,13.534,44.899,58.16
21.555,24.789,129,199.28
0.20588,0.25241,0.29233,0.37685
0.79945,1.0358,1.2555,1.7748
2.0999,2.932,3.7963,6.2243
4.6594,7.1779,10.228,21.616
9.1125,15.808,25.698,85.988
15.432,30.056,56.738,430.31
0.20989,0.16309,0.39843,0.27904
0.81904,0.6001,1.9198,1.1806
2.1651,1.4732,7.0094,3.4913
4.8428,3.0146,26.379,9.0986
9.558,5.4027,127.49,21.794
16.322,8.4822,1218,45.449
0.20392,0.18251,0.38207,0.3262
0.78994,0.68848,1.8093,1.4545
2.0685,1.7427,6.407,4.6599
4.5718,3.6961,22.671,13.764
8.902,6.8778,94.11,39.981
15.016,11.146,529.11,107.55
0.19098,0.19821,0.34779,0.36675
0.72809,0.76245,1.5876,1.7087
1.8678,1.9785,5.2831,5.8828
4.0256,4.3241,16.653,19.727
7.6223,8.3147,54.311,72.74
12.541,13.868,176.82,303.05
0.17312,0.20787,0.30298,0.39285
0.64529,0.80915,1.3168,1.8818
1.6094,2.1321,4.0537,6.799
3.3541,4.7497,11.229,25.042
6.1265,9.331,29.412,114.52
9.7724,15.867,68.453,879.7
